127.0.0.1, 2016-07-30 18:15:16, GET, /datos/academia/update_group_teacher/5, HTTP/1.1, 200, 0.143824
127.0.0.1, 2016-07-30 18:15:22, POST, /datos/academia/update_group_teacher/5, HTTP/1.1, 303, 0.145326
127.0.0.1, 2016-07-30 18:15:22, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.127824
127.0.0.1, 2016-07-30 18:16:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.226438
127.0.0.1, 2016-07-30 18:16:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.566385
127.0.0.1, 2016-07-30 18:16:55, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.153439
127.0.0.1, 2016-07-30 18:17:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.206645
127.0.0.1, 2016-07-30 18:17:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.549276
127.0.0.1, 2016-07-30 18:17:35, GET, /datos/academia/register_machine, HTTP/1.1, 200, 0.151241
127.0.0.1, 2016-07-30 18:18:00, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.171545
127.0.0.1, 2016-07-30 18:18:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.192091
127.0.0.1, 2016-07-30 18:18:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.525157
127.0.0.1, 2016-07-30 18:18:54, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.144993
127.0.0.1, 2016-07-30 18:18:54, GET, /datos/default/index, HTTP/1.1, 200, 0.119590
127.0.0.1, 2016-07-30 18:18:54, GET, /datos/static/images/logo.png, HTTP/1.1, 304, 0.000837
127.0.0.1, 2016-07-30 18:18:57, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.156151
127.0.0.1, 2016-07-30 18:19:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.211029
127.0.0.1, 2016-07-30 18:19:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.551843
127.0.0.1, 2016-07-30 18:19:18, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.171885
127.0.0.1, 2016-07-30 18:19:18, GET, /datos/default/index, HTTP/1.1, 200, 0.116303
127.0.0.1, 2016-07-30 18:19:21, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.152657
127.0.0.1, 2016-07-30 18:19:46, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.158231
127.0.0.1, 2016-07-30 18:19:46, GET, /datos/default/index, HTTP/1.1, 200, 0.113960
127.0.0.1, 2016-07-30 18:19:49, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.146883
127.0.0.1, 2016-07-30 18:19:59, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.152717
127.0.0.1, 2016-07-30 18:19:59, GET, /datos/default/index, HTTP/1.1, 200, 0.122733
127.0.0.1, 2016-07-30 18:20:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.203124
127.0.0.1, 2016-07-30 18:20:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.537359
127.0.0.1, 2016-07-30 18:20:33, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.152018
127.0.0.1, 2016-07-30 18:21:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.201835
127.0.0.1, 2016-07-30 18:21:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.542414
127.0.0.1, 2016-07-30 18:21:23, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.149965
127.0.0.1, 2016-07-30 18:21:23, GET, /datos/default/index, HTTP/1.1, 200, 0.121541
127.0.0.1, 2016-07-30 18:21:26, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.161678
127.0.0.1, 2016-07-30 18:21:38, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.199327
127.0.0.1, 2016-07-30 18:21:38, GET, /datos/default/index, HTTP/1.1, 200, 0.212266
127.0.0.1, 2016-07-30 18:21:41, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.159980
127.0.0.1, 2016-07-30 18:21:55, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.151062
127.0.0.1, 2016-07-30 18:21:56, GET, /datos/default/index, HTTP/1.1, 200, 0.112817
127.0.0.1, 2016-07-30 18:21:58, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.162502
127.0.0.1, 2016-07-30 18:22:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.207099
127.0.0.1, 2016-07-30 18:22:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.562178
127.0.0.1, 2016-07-30 18:22:10, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.158524
127.0.0.1, 2016-07-30 18:22:11, GET, /datos/default/index, HTTP/1.1, 200, 0.115751
127.0.0.1, 2016-07-30 18:22:31, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.148783
127.0.0.1, 2016-07-30 18:22:45, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.196223
127.0.0.1, 2016-07-30 18:22:45, GET, /datos/default/index, HTTP/1.1, 200, 0.115007
127.0.0.1, 2016-07-30 18:22:47, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.157809
127.0.0.1, 2016-07-30 18:22:56, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.149128
127.0.0.1, 2016-07-30 18:22:56, GET, /datos/default/index, HTTP/1.1, 200, 0.118277
127.0.0.1, 2016-07-30 18:22:59, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.148969
127.0.0.1, 2016-07-30 18:23:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.198097
127.0.0.1, 2016-07-30 18:23:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.534646
127.0.0.1, 2016-07-30 18:23:12, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.143734
127.0.0.1, 2016-07-30 18:23:12, GET, /datos/default/index, HTTP/1.1, 200, 0.123373
127.0.0.1, 2016-07-30 18:23:14, GET, /datos/academia/register_group, HTTP/1.1, 200, 0.149602
127.0.0.1, 2016-07-30 18:23:33, POST, /datos/academia/register_group, HTTP/1.1, 303, 0.160879
127.0.0.1, 2016-07-30 18:23:33, GET, /datos/default/index, HTTP/1.1, 200, 0.114368
