127.0.0.1, 2016-09-02 20:20:15, GET, /datos/academia/update_group_teacher/7, HTTP/1.1, 303, 0.129718
127.0.0.1, 2016-09-02 20:20:15, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.178168
127.0.0.1, 2016-09-02 20:20:53, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.065520
127.0.0.1, 2016-09-02 20:20:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.111355
127.0.0.1, 2016-09-02 20:20:58, GET, /datos/appadmin/index, HTTP/1.1, 200, 0.330515
127.0.0.1, 2016-09-02 20:20:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.819941
127.0.0.1, 2016-09-02 20:20:59, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.667800
127.0.0.1, 2016-09-02 20:21:00, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.252697
127.0.0.1, 2016-09-02 20:21:02, GET, /datos/appadmin/update/db1/auth_user/7, HTTP/1.1, 200, 0.253155
127.0.0.1, 2016-09-02 20:21:06, POST, /datos/appadmin/update/db1/auth_user/7, HTTP/1.1, 303, 0.206288
127.0.0.1, 2016-09-02 20:21:07, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.266725
127.0.0.1, 2016-09-02 20:21:10, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.176918
127.0.0.1, 2016-09-02 20:21:11, GET, /datos/academia/show_teacher/7, HTTP/1.1, 200, 0.197600
127.0.0.1, 2016-09-02 20:21:13, POST, /datos/academia/show_teacher/7, HTTP/1.1, 303, 0.220274
127.0.0.1, 2016-09-02 20:21:14, GET, /datos/academia/update_group_teacher/7, HTTP/1.1, 303, 0.126519
127.0.0.1, 2016-09-02 20:21:14, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.184532
127.0.0.1, 2016-09-02 20:21:32, POST, /admin/debug/toggle_breakpoint, HTTP/1.1, 200, 0.026899
127.0.0.1, 2016-09-02 20:21:33, POST, /admin/debug/toggle_breakpoint, HTTP/1.1, 200, 0.025086
127.0.0.1, 2016-09-02 20:21:36, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.064253
127.0.0.1, 2016-09-02 20:21:42, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.063635
127.0.0.1, 2016-09-02 20:21:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.315900
127.0.0.1, 2016-09-02 20:21:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.755602
127.0.0.1, 2016-09-02 20:22:07, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.057915
127.0.0.1, 2016-09-02 20:22:15, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.136627
127.0.0.1, 2016-09-02 20:22:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.323921
127.0.0.1, 2016-09-02 20:22:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.777711
127.0.0.1, 2016-09-02 20:23:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.299821
127.0.0.1, 2016-09-02 20:23:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.743814
127.0.0.1, 2016-09-02 20:24:05, GET, /datos/appadmin/update/db1/auth_user/7, HTTP/1.1, 200, 0.278371
127.0.0.1, 2016-09-02 20:24:12, POST, /datos/appadmin/update/db1/auth_user/7, HTTP/1.1, 303, 0.195179
127.0.0.1, 2016-09-02 20:24:12, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.248816
127.0.0.1, 2016-09-02 20:24:14, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.206120
127.0.0.1, 2016-09-02 20:24:24, GET, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.061980
127.0.0.1, 2016-09-02 20:24:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.018804
127.0.0.1, 2016-09-02 20:24:34, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.056589
127.0.0.1, 2016-09-02 20:24:36, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.179063
127.0.0.1, 2016-09-02 20:24:39, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.047774
127.0.0.1, 2016-09-02 20:24:56, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.047910
127.0.0.1, 2016-09-02 20:24:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.309921
127.0.0.1, 2016-09-02 20:24:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.756477
127.0.0.1, 2016-09-02 20:24:58, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.841228
127.0.0.1, 2016-09-02 20:25:09, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.050533
127.0.0.1, 2016-09-02 20:25:11, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.179983
127.0.0.1, 2016-09-02 20:25:22, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.051089
127.0.0.1, 2016-09-02 20:25:25, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.176185
127.0.0.1, 2016-09-02 20:25:34, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.052011
127.0.0.1, 2016-09-02 20:25:36, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.176742
127.0.0.1, 2016-09-02 20:25:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.316526
127.0.0.1, 2016-09-02 20:25:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.766733
127.0.0.1, 2016-09-02 20:26:46, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.059432
127.0.0.1, 2016-09-02 20:26:49, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.180768
127.0.0.1, 2016-09-02 20:26:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.315329
127.0.0.1, 2016-09-02 20:26:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.770902
127.0.0.1, 2016-09-02 20:27:11, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.104194
127.0.0.1, 2016-09-02 20:27:13, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.174273
127.0.0.1, 2016-09-02 20:27:37, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.051782
127.0.0.1, 2016-09-02 20:27:40, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.181248
127.0.0.1, 2016-09-02 20:27:53, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.054130
127.0.0.1, 2016-09-02 20:27:55, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.183362
127.0.0.1, 2016-09-02 20:27:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.301322
127.0.0.1, 2016-09-02 20:27:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.747543
127.0.0.1, 2016-09-02 20:28:21, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.048688
127.0.0.1, 2016-09-02 20:28:24, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.172181
127.0.0.1, 2016-09-02 20:28:31, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.046596
127.0.0.1, 2016-09-02 20:28:33, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.189830
127.0.0.1, 2016-09-02 20:28:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.306198
127.0.0.1, 2016-09-02 20:28:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.764702
127.0.0.1, 2016-09-02 20:29:42, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.054952
127.0.0.1, 2016-09-02 20:29:44, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.182156
127.0.0.1, 2016-09-02 20:29:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.303721
127.0.0.1, 2016-09-02 20:29:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.748635
127.0.0.1, 2016-09-02 20:30:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.304903
127.0.0.1, 2016-09-02 20:30:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.742733
127.0.0.1, 2016-09-02 20:31:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.307968
127.0.0.1, 2016-09-02 20:31:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.730171
127.0.0.1, 2016-09-02 20:32:13, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.053623
127.0.0.1, 2016-09-02 20:32:15, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.174716
127.0.0.1, 2016-09-02 20:32:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.312090
127.0.0.1, 2016-09-02 20:32:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.768626
127.0.0.1, 2016-09-02 20:33:02, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.050881
127.0.0.1, 2016-09-02 20:33:04, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.179442
127.0.0.1, 2016-09-02 20:33:21, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.064815
127.0.0.1, 2016-09-02 20:33:23, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.048451
127.0.0.1, 2016-09-02 20:33:51, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.053569
127.0.0.1, 2016-09-02 20:33:53, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.171906
127.0.0.1, 2016-09-02 20:33:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.301121
127.0.0.1, 2016-09-02 20:33:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.735165
127.0.0.1, 2016-09-02 20:34:09, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.053160
127.0.0.1, 2016-09-02 20:34:11, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.179244
127.0.0.1, 2016-09-02 20:34:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.290233
127.0.0.1, 2016-09-02 20:34:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.726110
127.0.0.1, 2016-09-02 20:35:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.291431
127.0.0.1, 2016-09-02 20:35:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.721272
127.0.0.1, 2016-09-02 20:36:11, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.051221
127.0.0.1, 2016-09-02 20:36:13, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.180532
127.0.0.1, 2016-09-02 20:36:24, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.061837
127.0.0.1, 2016-09-02 20:36:27, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.180121
127.0.0.1, 2016-09-02 20:36:35, POST, /admin/default/edit/datos/views/academia/agree_teacher.html, HTTP/1.1, 200, 0.056627
127.0.0.1, 2016-09-02 20:36:36, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.181106
127.0.0.1, 2016-09-02 20:36:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.298622
127.0.0.1, 2016-09-02 20:36:58, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.743273
