127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.000247
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000615
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000455
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.000362
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000465
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.000428
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000323
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000416
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000382
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000400
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 304, 0.000324
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 304, 0.000454
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 304, 0.000550
127.0.0.1, 2016-03-16 23:21:46, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000608
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/default/site, HTTP/1.1, 200, 0.055143
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000458
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000414
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 304, 0.004609
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 304, 0.003168
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000414
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000235
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.001454
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 304, 0.007564
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000448
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000781
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000310
127.0.0.1, 2016-03-16 23:21:48, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001887
127.0.0.1, 2016-03-16 23:21:49, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 304, 0.000406
127.0.0.1, 2016-03-16 23:21:49, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 304, 0.000237
127.0.0.1, 2016-03-16 23:21:49, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 304, 0.000413
