127.0.0.1, 2016-07-30 17:47:31, GET, /datos/academia/update_group_teacher/3, HTTP/1.1, 200, 0.152183
127.0.0.1, 2016-07-30 17:47:33, POST, /datos/academia/update_group_teacher/3, HTTP/1.1, 303, 0.121529
127.0.0.1, 2016-07-30 17:47:33, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.126648
127.0.0.1, 2016-07-30 17:47:36, GET, /datos/academia/show_teacher/4, HTTP/1.1, 200, 0.144447
127.0.0.1, 2016-07-30 17:47:47, POST, /datos/academia/show_teacher/4, HTTP/1.1, 303, 0.132444
127.0.0.1, 2016-07-30 17:47:47, GET, /datos/academia/update_group_teacher/4, HTTP/1.1, 303, 0.102995
127.0.0.1, 2016-07-30 17:47:47, GET, /datos/default/index, HTTP/1.1, 200, 0.112728
127.0.0.1, 2016-07-30 17:47:59, GET, /datos/admin/teachers, HTTP/1.1, 200, 0.183713
127.0.0.1, 2016-07-30 17:47:59, GET, /datos/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000713
127.0.0.1, 2016-07-30 17:48:27, GET, /datos/default/index, HTTP/1.1, 200, 0.115537
127.0.0.1, 2016-07-30 17:48:34, GET, /datos/admin/teachers, HTTP/1.1, 200, 0.195238
127.0.0.1, 2016-07-30 17:48:40, GET, /, HTTP/1.1, 303, 0.001063
127.0.0.1, 2016-07-30 17:48:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.110400
127.0.0.1, 2016-07-30 17:48:42, GET, /admin/default/site, HTTP/1.1, 200, 0.116008
127.0.0.1, 2016-07-30 17:48:46, GET, /admin/default/design/datos, HTTP/1.1, 200, 0.932171
127.0.0.1, 2016-07-30 17:48:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000777
127.0.0.1, 2016-07-30 17:49:01, GET, /admin/default/edit/datos/controllers/admin.py, HTTP/1.1, 200, 0.082236
127.0.0.1, 2016-07-30 17:49:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000784
127.0.0.1, 2016-07-30 17:49:01, GET, /admin/default/edit/datos/controllers/admin.py, HTTP/1.1, 200, 0.169462
127.0.0.1, 2016-07-30 17:49:01, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.266104
127.0.0.1, 2016-07-30 17:49:01, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.070564
127.0.0.1, 2016-07-30 17:49:02, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.464100
127.0.0.1, 2016-07-30 17:49:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.990892
127.0.0.1, 2016-07-30 17:49:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.021792
127.0.0.1, 2016-07-30 17:49:05, GET, /admin/default/edit/datos/views/admin/teachers.html, HTTP/1.1, 200, 0.048819
127.0.0.1, 2016-07-30 17:49:05, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.016929
127.0.0.1, 2016-07-30 17:49:10, POST, /admin/default/edit/datos/views/admin/teachers.html, HTTP/1.1, 200, 0.094677
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/admin/teachers, HTTP/1.1, 200, 0.180393
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000961
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.007488
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/js/calendar.js, HTTP/1.1, 304, 0.009078
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/js/web2py.js, HTTP/1.1, 304, 0.002282
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/css/calendar.css, HTTP/1.1, 304, 0.001971
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/js/jquery.js, HTTP/1.1, 304, 0.005083
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004699
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000791
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000713
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/js/share.js, HTTP/1.1, 304, 0.000853
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001228
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/images/twitter.png, HTTP/1.1, 304, 0.001036
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/images/facebook.png, HTTP/1.1, 304, 0.000776
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/images/gplus-32.png, HTTP/1.1, 304, 0.000811
127.0.0.1, 2016-07-30 17:49:17, GET, /datos/static/images/favicon.ico, HTTP/1.1, 200, 0.000805
127.0.0.1, 2016-07-30 17:49:52, GET, /admin/default/edit/datos/views/tasks/resumen.html, HTTP/1.1, 200, 0.050875
127.0.0.1, 2016-07-30 17:49:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.013423
127.0.0.1, 2016-07-30 17:50:01, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.214548
127.0.0.1, 2016-07-30 17:50:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.571225
127.0.0.1, 2016-07-30 17:50:42, POST, /admin/default/edit/datos/views/admin/teachers.html, HTTP/1.1, 200, 0.045060
127.0.0.1, 2016-07-30 17:50:55, POST, /admin/default/edit/datos/views/admin/teachers.html, HTTP/1.1, 200, 0.043349
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/admin/teachers, HTTP/1.1, 200, 0.179776
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000925
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/js/jquery.js, HTTP/1.1, 304, 0.000880
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000839
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/css/calendar.css, HTTP/1.1, 304, 0.000781
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/js/calendar.js, HTTP/1.1, 304, 0.006341
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000668
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/js/web2py.js, HTTP/1.1, 304, 0.002833
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.014077
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000692
127.0.0.1, 2016-07-30 17:50:57, GET, /datos/static/js/share.js, HTTP/1.1, 304, 0.000856
127.0.0.1, 2016-07-30 17:50:58, GET, /datos/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000800
127.0.0.1, 2016-07-30 17:50:58, GET, /datos/static/images/twitter.png, HTTP/1.1, 304, 0.000804
127.0.0.1, 2016-07-30 17:50:58, GET, /datos/static/images/facebook.png, HTTP/1.1, 304, 0.000705
127.0.0.1, 2016-07-30 17:50:58, GET, /datos/static/images/gplus-32.png, HTTP/1.1, 304, 0.000715
127.0.0.1, 2016-07-30 17:50:59, GET, /datos/static/images/favicon.ico, HTTP/1.1, 200, 0.001045
127.0.0.1, 2016-07-30 17:51:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.211709
127.0.0.1, 2016-07-30 17:51:02, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.568862
127.0.0.1, 2016-07-30 17:51:19, POST, /admin/default/edit/datos/views/admin/teachers.html, HTTP/1.1, 200, 0.042058
127.0.0.1, 2016-07-30 17:51:22, GET, /datos/admin/teachers, HTTP/1.1, 500, 0.427410
127.0.0.1, 2016-07-30 17:51:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000710
127.0.0.1, 2016-07-30 17:51:26, POST, /admin/default/edit/datos/views/admin/teachers.html, HTTP/1.1, 200, 0.041517
127.0.0.1, 2016-07-30 17:51:28, GET, /datos/admin/teachers, HTTP/1.1, 200, 0.178962
127.0.0.1, 2016-07-30 17:51:28, GET, /datos/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001868
127.0.0.1, 2016-07-30 17:51:28, GET, /datos/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000580
127.0.0.1, 2016-07-30 17:51:28, GET, /datos/static/js/jquery.js, HTTP/1.1, 304, 0.001096
