127.0.0.1, 2016-07-30 17:25:46, GET, /datos/academia/update_group_teacher/9, HTTP/1.1, 200, 0.134449
127.0.0.1, 2016-07-30 17:26:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.196595
127.0.0.1, 2016-07-30 17:26:05, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.517143
127.0.0.1, 2016-07-30 17:26:18, GET, /datos/appadmin/index, HTTP/1.1, 200, 0.176730
127.0.0.1, 2016-07-30 17:26:19, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.418930
127.0.0.1, 2016-07-30 17:26:22, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.169291
127.0.0.1, 2016-07-30 17:26:33, GET, /datos/appadmin/index, HTTP/1.1, 200, 0.178202
127.0.0.1, 2016-07-30 17:26:33, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.429381
127.0.0.1, 2016-07-30 17:26:35, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.206806
127.0.0.1, 2016-07-30 17:27:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.209504
127.0.0.1, 2016-07-30 17:27:05, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.529435
127.0.0.1, 2016-07-30 17:27:44, POST, /datos/academia/update_group_teacher/9, HTTP/1.1, 500, 0.417823
127.0.0.1, 2016-07-30 17:27:47, GET, /admin/default/ticket/datos/127.0.0.1.2016-07-30.17-27-44.1d68e1f0-e786-40f3-bf60-3333d9b1911a, HTTP/1.1, 200, 0.212228
127.0.0.1, 2016-07-30 17:28:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.200058
127.0.0.1, 2016-07-30 17:28:05, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.550405
127.0.0.1, 2016-07-30 17:29:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.189820
127.0.0.1, 2016-07-30 17:29:05, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.510527
127.0.0.1, 2016-07-30 17:30:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.201421
127.0.0.1, 2016-07-30 17:30:05, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.522992
127.0.0.1, 2016-07-30 17:30:18, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.051716
127.0.0.1, 2016-07-30 17:30:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.017738
127.0.0.1, 2016-07-30 17:30:32, POST, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.039940
