127.0.0.1, 2016-08-31 22:57:20, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.298479
127.0.0.1, 2016-08-31 22:57:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.979502
127.0.0.1, 2016-08-31 22:58:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.296349
127.0.0.1, 2016-08-31 22:58:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.766779
127.0.0.1, 2016-08-31 22:58:21, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.060046
127.0.0.1, 2016-08-31 22:58:38, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.059760
127.0.0.1, 2016-08-31 22:58:39, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.067662
127.0.0.1, 2016-08-31 22:58:40, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.057604
127.0.0.1, 2016-08-31 22:58:40, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.062623
127.0.0.1, 2016-08-31 22:59:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.391093
127.0.0.1, 2016-08-31 22:59:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.895297
127.0.0.1, 2016-08-31 22:59:30, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.061230
127.0.0.1, 2016-08-31 22:59:30, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.064491
127.0.0.1, 2016-08-31 22:59:31, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.059918
127.0.0.1, 2016-08-31 22:59:31, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.062659
127.0.0.1, 2016-08-31 22:59:47, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.061806
127.0.0.1, 2016-08-31 22:59:48, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.057476
127.0.0.1, 2016-08-31 22:59:52, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.067770
127.0.0.1, 2016-08-31 22:59:57, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.062323
